Code,name,symptoms_0,symptoms_1,symptoms_2,symptoms_3,symptoms_4,symptoms_5,symptoms_6,symptoms_7,symptoms_8,symptoms_9,symptoms_10,symptoms_11,symptoms_12,symptoms_13,symptoms_14,symptoms_15,symptoms_16,symptoms_17,symptoms_18,symptoms_19,symptoms_20,symptoms_21,symptoms_22,symptoms_23,Description,commonTestsAndProcedures,commonMedications,age,gender,race/ethnicity
752,Injury to the spinal cord,Neck pain,60,Neck cramps or spasms,47,Back pain,47,Shoulder pain,36,Headache,36,Throat irritation,22,Retention of urine,22,Foot or toe weakness,22,Arm pain,22,Arm weakness,22,Side pain,22,Drainage in throat,"22"""," Also known as Spinal Cord Injury and Spinal Cord Trauma , , ,A spinal cord injury (SCI) refers to any injury to the spinal cord that is caused by trauma instead of disease. Depending on where the spinal cord and nerve roots are damaged, the symptoms can vary widely, from pain to paralysis to incontinence. Spinal cord injuries are described at various levels of ""incomplete"", which can vary from having no effect on the patient to a ""complete"" injury which means a total loss of function. , Source: Wikipedia,Patients with injury to the spinal cord often receive ",",Radiographic imaging procedure,Plain x ray X ray,Physical therapy exercises Exercises,X ray computed tomography Scan ct,Intravenous fluid replacement,Occupational therapy assessment Speech therapy,CAT scan of head Head ct,Cardiac monitoring Cardiac monitor",",Baclofen,Gabapentin,Diazepam Valium,Bisacodyl The Magic Bullet,Lactulose,Tolterodine Detrol,Trihexyphenidyl Artane,Clorazepate,Miconazole Topical Product,Botulinum Toxin Type A Botox,Magnesium Sulfate,Tizanidine,Sennosides,","30-44,",male,other
753,Nasal polyp,Nasal congestion,72,Headache,48,Nosebleed,30,Painful sinuses,30,Cough,27,Difficulty breathing,27,Allergic reaction,22,Facial pain,18,Disturbance of smell or taste,13,Frontal headache,13,Hoarse voice,7,Redness in ear,"7"""," Also known as Nose Polyp , , ,Nasal polyps are polypoidal masses arising mainly from the mucous membranes of the nose and paranasal sinuses. They are overgrowths of the mucosa that frequently accompany allergic rhinitis. They are freely movable and nontender. , Source: Wikipedia,Patients with nasal polyp often receive ",",X ray computed tomography Scan ct,Excision Removal,Diagnostic procedures on nose mouth and pharynx,Other diagnostic procedures interview evaluation consultation,Magnetic resonance imaging Mri,Other non OR therapeutic procedures on nose mouth and pharynx,Other OR therapeutic procedures on nose mouth and pharynx,Other diagnostic procedures on skin and subcutaneous tissue",",Mometasone Nasal Product,Montelukast Singulair,Fluticasone Nasal Product,Cefuroxime,Fluticasone Topical Product,Moxifloxacin Avelox,Beclomethasone Nasal Product,Azelastine Nasal,Budesonide,Budesonide Nasal Product,Phenylephrine Duramax,Tetracaine Topical Product",45-59,Unspecified,other
754,Lichen simplex,Skin rash,82,Itching of skin,71,Skin lesion,47,Skin irritation,22,Acne or pimples,22,Vaginal itching,22,Itchy scalp,22,Skin growth,22,Skin dryne,,,,12,Loss of sex drive,12,Pain during intercourse," Also known as Lichen Simplex Chronicus and Neurodermatitis Circumscripta , , ,Lichen simplex chronicus (also known as ""Neurodermatitis"") is a skin disorder characterized by chronic itching and scratching.:58 The constant scratching causes thick, leathery, brownish skin. , Source: Wikipedia,Patients with lichen simplex often receive ",",Complete physical skin exam performed ML,Pelvis exam,Wound care management,Biopsy,Excision Removal,Other diagnostic procedures on skin and subcutaneous tissue,Excision of skin lesion,Pap smear",",Clobetasol Topical,Triamcinolone,Betamethasone Topical Product,Triamcinolone Topical Product,Hydrocortisone Topical,Hydroxyzine,Fluocinonide Topical,Desoximetasone Topical,Flurandrenolide Topical,Betamethasone Calcipotriene Topical,Tacrolimus Topical Product,Lactic Acid Topical,Petrolatum Topical",60-74,Unspecified,other
755,Trichiasis,Foreign body sensation in eye,80,Eyelid lesion or rash,63,Diminished vision,44,Symptoms of eye,44,Itchiness of eye,44,Pain in eye,44,Eye redness,28,Swollen eye,28,Emotional symptoms,2,Back weakness,2,Elbow cramps or spasms,2,Pus in sputum,"2"""," , ,Trichiasis is a medical term for abnormally positioned eyelashes that grow back toward the eye, touching the cornea or conjunctiva. This can be caused by infection, inflammation, autoimmune conditions, congenital defects, eyelid agenesis and trauma such as burns or eyelid injury. , Source: Wikipedia,Patients with trichiasis often receive ",",Other therapeutic procedures on eyelids conjunctiva cornea,Nonoperative removal of foreign body,Ophthalmic examination and evaluation Eye exam,Corneal transplant,Procedures on spleen Spleen operation,Removal of ectopic pregnancy,Tracheostomy temporary and permanent,Diagnostic endocrine procedures",",Latanoprost,Fluorometholone Ophthalmic,Cyclosporine Ophthalmic,Dexamethasone Tobramycin Ophthalmic,Carteolol Ophthalmic,Metipranolol Ophthalmic,Betaxolol Ophthalmic,Ketotifen Ophthalmic,Loteprednol Ophthalmic,Brimonidine Timolol Ophthalmic,Ketorolac Ophthalmic Product,Brinzolamide Ophthalmic,Ciprofloxacin Ophthalmic","75+,60-74",Unspecified,other
756,Acariasis,Skin rash,91,Itching of skin,77,Swelling of scrotum,49,Skin lesion,49,Vomiting,49,Elbow weakness,4,Cross-eyed,4,Excessive growth,4,Bowlegged or knock-kneed,4,Feeling hot and cold,4,Wrist weakness,4,Emotional symptoms,"4"""," Also known as Mite Infestation , , ,Acariasis is an infestation with mites. , Source: Wikipedia,Patients with acariasis often receive ",",Complete physical skin exam performed ML,Liver function tests Liver test,Corneal transplant,Procedures on spleen Spleen operation,Removal of ectopic pregnancy,Tracheostomy temporary and permanent,Diagnostic endocrine procedures,CT scan chest Ct chest",",Diphenhydramine Benadryl,Permethrin Topical,Hydrocortisone Topical,Hydroxyzine,Piperonyl Butoxide Pyrethrins Topical,Abatacept Orencia,Colloidal Oatmeal Topical,Betamethasone Topical Product,Triamcinolone,Folic Acid,Cetirizine Zyrtec,Mecamylamine","5-14,1-4",Unspecified,other
757,Colorectal cancer,Sharp abdominal pain,26,Rectal bleeding,14,Blood in stool,6,Pain of the anus,4,Mass or swelling around the anus,3,Drainage in throat,"2""",,,,,,,,,,,,," Also known as Colon cancer , , ,Colorectal cancer, commonly known as colon cancer or bowel cancer, is a cancer from uncontrolled cell growth in the colon or rectum (parts of the large intestine), or in the appendix. Genetic analysis shows that essentially colon and rectal tumours are genetically the same cancer. Symptoms of colorectal cancer typically include rectal bleeding and anemia which are sometimes associated with weight loss and changes in bowel habits. , Source: Wikipedia,Patients with colorectal cancer often receive ",",Hematologic tests Blood test,Complete blood count Cbc,Glucose measurement Glucose level,Electrolytes panel,Complete physical skin exam performed ML,X ray computed tomography Scan ct,Rectal examination,Hemoglobin A1c measurement Hemoglobin a1c test",",Fluorouracil,Leucovorin,Bevacizumab Avastin,Oxaliplatin,Dexamethasone Topical Product,Capecitabine Xeloda,Prochlorperazine Compro,Irinotecan,Heparin,Palonosetron Aloxi,Dexamethasone,Cetuximab Erbitux,Granisetron","75+,60-74",Unspecified,other
758,Skin pigmentation disorder,Abnormal appearing skin,79,Skin rash,52,Skin lesion,46,Skin moles,44,Acne or pimples,42,Skin growth,25,Itching of skin,22,Skin swelling,16,Skin dryne,,,,15,Warts,10,Too little hair," , ,Pigmentation means coloring. Skin pigmentation disorders affect the color of your skin. Skin cells give your skin color by making a substance called melanin. When these cells become damaged or unhealthy, it affects melanin production. Some pigmentation disorders affect just patches of skin. Others affect your entire body. If your body makes too much melanin, your skin gets darker. Pregnancy, Addison's disease and sun exposure all can make your skin darker. If your body makes too little melanin, your skin gets lighter. Vitiligo is a condition that causes patches of light skin. Albinism is a genetic condition affecting all of a person's skin. Infections, blisters and burns can cause lighter skin. , Source: MedlinePlus,Patients with skin pigmentation disorder often receive ",",Complete physical skin exam performed ML,Excision Removal,Biopsy,Excision of skin lesion,Wound care management,Other diagnostic procedures on skin and subcutaneous tissue,Other therapeutic procedures,Other non OR therapeutic procedures on skin and breast",",Hydroquinone Topical,Tretinoin Topical,Triamcinolone,Tacrolimus Topical Product,Clobetasol Topical,Ketoconazole,Desonide Topical,Fluocinonide Topical,Benzoyl Peroxide Topical,Betamethasone Topical Product,Metronidazole Topical Product,Tazarotene Topical,Minocycline",Unspecified,Unspecified,other
759,Factitious disorder,Disturbance of memory,81,Depressive or psychotic symptoms,72,Depression,54,Loss of sensation,54,Paresthesia,54,Lip swelling,54,Itchy eyelid,5,Wrist weakness,5,Excessive growth,5,Elbow cramps or spasms,5,Elbow weakness,5,Nailbiting,"5"""," , ,A factitious disorder is a condition in which a person acts as if they have an illness by deliberately producing, feigning, or exaggerating symptoms. Factitious disorder by proxy is a condition in which a person deliberately produces, feigns, or exaggerates symptoms in a person in their care. Münchausen syndrome, a severe form of factitious disorder, was the first kind identified, and was for a period the umbrella term for all such disorders. People with this condition may produce symptoms by contaminating urine samples, taking hallucinogens, injecting themselves with bacteria to produce infections, and other similar behaviour. They might be motivated to perpetrate factitious disorders either as a patient or by proxy as a caregiver to gain any variety of benefits including attention, nurturance, sympathy, and leniency that are seen as not obtainable any other way. In contrast, somatoform disorders are characterised by multiple somatic complaints, albeit both are diagnoses of exclusion. , Source: Wikipedia,Patients with factitious disorder often receive ",",Mental health counseling,Psychotherapy,Psychological and psychiatric evaluation and therapy,Echocardiography,Blood alcohol,Toxicology screen,Hemoglobin A1c measurement Hemoglobin a1c test,Ultrasonography Ultrasound",",Clopidogrel Plavix,Lorazepam,Sirolimus,Dapsone,Ubiquinone Q10,Raloxifene Evista,Thiamine,Donepezil Aricept,Allopurinol,Lamotrigine Lamictal,Divalproex Sodium Depakote,Docusate Colace,Quetiapine Seroquel",60-74,Unspecified,other
760,Lymphogranuloma venereum,Sore throat,100,Nosebleed,91,Fever,91,Chills,91,Ear pain,91,Vulvar sore,20,Pelvic pressure,20,Knee lump or mass,20,Shoulder swelling,20,Neck cramps or spasms,20,Excessive growth,20,Loss of sex drive,"20"""," Also known as LGV , , ,Lymphogranuloma venereum (also known as ""Climatic bubo,"" ""DurandNicolasFavre disease,"" ""Poradenitis inguinale,"" and ""Strumous bubo"") is a sexually transmitted disease caused by the invasive serovars L1, L2, L2a or L3 of Chlamydia trachomatis. , Source: Wikipedia,Patients with lymphogranuloma venereum often receive ",",Arterial blood gases ABGs,Blood culture,Liver function tests Liver test,Cardiac enzymes measurement Cardiac enzymes test,X ray computed tomography Scan ct,Kidney function tests Kidney function test,Intravenous fluid replacement,Electrolytes panel",",Doxycycline,Air,Mecamylamine,Troleandomycin,Indium Oxyquinoline In 111 Indium In 111 Oxyquinoline,Pipecuronium Arduan,Grepafloxacin Raxar,Rabbit Anti Human T Lymphocyte Globulin Thymoglobulin,Iopanoic Acid,Conjugated Estrogens Topical,Malathion Topical,Gemtuzumab Mylotarg","15-29,45-59",Unspecified,white
761,Galactorrhea of unknown cause,Bleeding or discharge from nipple,84,Pain or soreness of breast,65,Pelvic pain,30,Weight gain,30,Anxiety and nervousness,30,Back pain,30,Lump or mass of breast,30,Sharp chest pain,30,Burning abdominal pain,30,Cough,30,Low back weakness,2,Emotional symptoms,"2"""," , ,Galactorrhea of unknown cause is encountered rarely on Symcat. We will add more content to this page if enough people like you show interest.,Patients with galactorrhea of unknown cause often receive , ",",Hematologic tests Blood test,Examination of breast,Pelvis exam,Complete physical skin exam performed ML,Standard pregnancy test,Mammography Mammogram,Lipid panel,Depression screen Depression screening",",Citalopram Celexa,Bromocriptine,Terconazole Topical,Metronidazole Topical Product,Portia,Olopatadine Ophthalmic,Vitamin E Vita E,Buspirone Buspar,Medroxyprogesterone,Mecamylamine,Grepafloxacin Raxar","30-44,15-29",female and,hispanic
762,G6PD enzyme deficiency,Cough,43,Nasal congestion,43,Excessive growth,3,Wrist weakness,3,Elbow weakness,3,Elbow cramps or spasms,3,Feeling hot and cold,3,Emotional symptoms,3,Low back weakness,3,Underweight,3,Nailbiting,3,Muscle swelling,"3"""," Also known as G6pd Deficiency , , ,A disease-producing enzyme deficiency subject to many variants, some of which cause a deficiency of GLUCOSE-6-PHOSPHATE DEHYDROGENASE activity in erythrocytes, leading to hemolytic anemia. , Source: MeSH,Patients with g6pd enzyme deficiency often receive ",",Hematologic tests Blood test,Complete blood count Cbc,Other diagnostic procedures interview evaluation consultation,Ultrasonography Ultrasound,Other vascular catheterization not heart,Other therapeutic procedures on eyelids conjunctiva cornea,Ophthalmologic and otologic diagnosis and treatment,Other therapeutic procedures",",Folic Acid,Deferoxamine,Pentamidine,Carbinoxamine Dmax,Deferasirox Exjade,Ceftazidime,Vincristine,Megestrol Megace,Petrolatum Topical,Methotrexate,Risedronate Actonel,Ascorbic Acid,Penicillin","5-14,1-4,< 1",male,black and
763,Nerve impingement near the shoulder,Shoulder pain,96,Knee pain,32,Neck pain,32,Arm pain,29,Shoulder stiffness or tightness,16,Problems with movement,13,Elbow pain,9,Shoulder weakness,6,Hand or finger stiffness or tightness,3,Vulvar irritation,3,Muscle pain,3,Bones are painful,"3"""," Also known as Shoulder Impingement Syndrome and Subacromial Impingement , , ,Compression of the rotator cuff tendons and subacromial bursa between the humeral head and structures that make up the coracoacromial arch and the humeral tuberosities. This condition is associated with subacromial bursitis and rotator cuff (largely supraspinatus) and bicipital tendon inflammation, with or without degenerative changes in the tendon. Pain that is most severe when the arm is abducted in an arc between 40 and 120 degrees, sometimes associated with tears in the rotator cuff, is the chief symptom. (From Jablonski's Dictionary of Syndromes and Eponymic Diseases, 2d ed) , Source: MeSH,Patients with nerve impingement near the shoulder often receive ",",Radiographic imaging procedure,Physical therapy exercises Exercises,Plain x ray X ray,Magnetic resonance imaging Mri,Other non OR therapeutic procedures on musculoskeletal system,Other therapeutic procedures,Occupational therapy assessment Speech therapy,Other therapeutic procedures on muscles and tendons",",Bupivacaine,Triamcinolone Topical Product,Cortisone,Betamethasone Topical Product,Exenatide Byetta,Rocuronium,Bulk Producing Laxatives,Ropivacaine,Acebutolol","60-74,45-59",Unspecified,other
764,Toxoplasmosis,Eye redness,49,Diminished vision,49,Itchy scalp,49,Blindness,49,Irregular appearing scalp,49,Elbow weakness,4,Cross-eyed,4,Excessive growth,4,Bowlegged or knock-kneed,4,Feeling hot and cold,4,Wrist weakness,4,Emotional symptoms,"4"""," , ,Toxoplasmosis is a parasitic disease caused by the protozoan Toxoplasma gondii. The parasite infects most genera of warm-blooded animals, including humans, but the primary host is the felid (cat) family. Animals are infected by eating infected meat, by ingestion of feces of a cat that has itself recently been infected, or by transmission from mother to fetus. Cats are the primary source of infection to human hosts, although contact with raw meat, especially pork, is a more significant source of human infections in some countries. Fecal contamination of hands is a significant risk factor. , Source: Wikipedia,Patients with toxoplasmosis often receive ",",Mental health counseling,Other therapeutic procedures on eyelids conjunctiva cornea,Ophthalmologic and otologic diagnosis and treatment,Pap smear,Depression screen Depression screening,Magnetic resonance imaging Mri,Other diagnostic procedures interview evaluation consultation,Corneal transplant",",Kaletra,Pyrimethamine,Sulfadiazine,Itraconazole,Atovaquone,Zidovudine,Cyclopentolate Ophthalmic,Leucovorin,Bevacizumab Avastin,Triamterene,Emtricitabine Tenofovir,Epoetin Alfa Procrit,Carbamazepine",30-44,Unspecified,other
765,Fibroadenoma,Lump or mass of breast,90,Pain or soreness of breast,50,Bleeding or discharge from nipple,19,Arm lump or mass,5,Bones are painful,5,Problems with shape or size of breast,2,Hot flashes,2,Pain during intercourse,1,Back swelling,1,Throat irritation,1,Vaginal dryness,"1""",,," , ,Fibroadenomas of the breast, are lumps composed of fibrous and glandular tissue. Because breast cancer can also appear as a lump, doctors may recommend a tissue sample (biopsy) to rule out cancer in older patients. Unlike typical lumps from breast cancer, fibroadenomas are easy to move, with clearly defined edges. , Source: Wikipedia,Patients with fibroadenoma often receive ",",Examination of breast,Radiographic imaging procedure,Mammography Mammogram,Biopsy,Ultrasonography Ultrasound,Complete physical skin exam performed ML,Pelvis exam,Breast biopsy and other diagnostic procedures on breast",",Biotin,Triiodothyronine Cytomel,Bellergal S,Lodoxamide Ophthalmic,Estazolam,Penciclovir Topical,Black Cohosh Extract Black Cohosh,Ethanol On Guard,Entacapone Comtan,Collagen","30-44,45-59",female and,other
766,Open wound of the hand,Hand or finger pain,30,Hand or finger swelling,11,Skin on arm or hand looks infected,5,Hand or finger stiffness or tightness,"2""",,,,,,,,,,,,,,,,," , ,Open wound of the hand is encountered rarely on Symcat. We will add more content to this page if enough people like you show interest.,Patients with open wound of the hand often receive , ",",Suturing of wound,Plain x ray X ray,Wound care management,Application of splint Splinting,Nonoperative removal of foreign body,Culture wound,Suture of skin and subcutaneous tissue,Occupational therapy assessment Speech therapy",",Lidocaine,Cephalexin,Tetanus Toxoid Vaccine Adacel,Bacitracin Septa,Povidone Iodine Topical Betadine,Diphtheria Toxoid Vaccine Prohibit,Cefadroxil,Rabies Vaccine Obsolete,Tetanus Immune Globulin,,Iodine Topical,Rabies Immune Globulin,,Bacitracin Topical",15-29,male,other
767,Missed abortion,Spotting or bleeding during pregnancy,73,Sharp abdominal pain,51,Pain during pregnancy,49,Lower abdominal pain,43,Problems during pregnancy,38,Cramps and spasms,25,Intermenstrual bleeding,21,Blood clots during menstrual periods,12,Heavy menstrual flow,6,Blood in stool,6,Recent pregnancy,6,Infertility,"6"""," , ,Miscarriage is the spontaneous end of a pregnancy at a stage where the embryo or fetus is incapable of surviving independently. Miscarriage is the most common complication of early pregnancy. , Source: Wikipedia,Patients with missed abortion often receive ",",Radiographic imaging procedure,Hematologic tests Blood test,Complete blood count Cbc,Urinalysis,Pelvis exam,Glucose measurement Glucose level,Standard pregnancy test,Electrolytes panel",",Misoprostol,Methylergonovine Methergine,Propofol,Sevoflurane,Procaine Novocaine,Nitrous Oxide,Oxytocin,Rho D Immune Globulin Rhogam,Nonoxynol 9 Topical,Zolmitriptan Zomig,Combivir,Butorphanol Stadol","30-44,15-29",female and,"other,hispanic"
768,Diabetic ketoacidosis,Vomiting,84,Nausea,66,Weakness,46,Sharp abdominal pain,42,Sharp chest pain,37,Diarrhea,34,Depressive or psychotic symptoms,31,Decreased appetite,16,Thirst,16,Polyuria,11,Frequent urination,11,Fluid retention,"6"""," Also known as Diabetic Acidosis and Diabetic Ketosis , , ,Diabetic ketoacidosis (DKA) is a potentially life-threatening complication in patients with diabetes mellitus. It happens predominantly in those with type 1 diabetes, but it can occur in those with type 2 diabetes under certain circumstances. DKA results from a shortage of insulin; in response the body switches to burning fatty acids and producing acidic ketone bodies that cause most of the symptoms and complications. , Source: Wikipedia,Patients with diabetic ketoacidosis often receive ",",Hematologic tests Blood test,Intravenous fluid replacement,Complete blood count Cbc,Glucose measurement Glucose level,Electrolytes panel,Urinalysis,Kidney function tests Kidney function test,Radiographic imaging procedure",",Insulin,Insulin Glargine Lantus,Insulin,,,Insulin Detemir Levemir,Vancomycin,Sodium Bicarbonate,Oxymetazoline Nasal,Insulin Isophane Humulin N,Dolasetron Anzemet,Magnesium Sulfate,Potassium Phosphate,Bromfenac Bromday,Insulin Isophane Insulin Regular",15-29,Unspecified,other
769,Granuloma inguinale,Nausea,77,Sharp chest pain,77,Groin pain,77,Vaginal pain,77,Vulvar sore,11,Loss of sex drive,11,Knee lump or mass,11,Nailbiting,11,Excessive growth,11,Wrist weakness,11,Shoulder swelling,11,Neck cramps or spasms,"11"""," Also known as Donovanosis , , ,Granuloma inguinale is a bacterial disease caused by Klebsiella granulomatis characterized by ulcerative genital lesions. It is endemic in many less developed regions. It is also known as donovanosis, granuloma genitoinguinale, granuloma inguinale tropicum, granuloma venereum, granuloma venereum genitoinguinale, lupoid form of groin ulceration, serpiginous ulceration of the groin, ulcerating granuloma of the pudendum and ulcerating sclerosing granuloma. , Source: Wikipedia,Patients with granuloma inguinale often receive ",",Pelvis exam,Urinalysis,Complete blood count Cbc,Hematologic tests Blood test,Human papillomavirus DNA detection,Traction splints and other wound care,Chlamydia test,Examination of breast",",Clindamycin Topical Product,Silver Nitrate Topical Each,Cefazolin,Hydroxyzine,Hydromorphone Dilaudid,Ketorolac Toradol,Air,Mecamylamine,Troleandomycin,Indium Oxyquinoline In 111 Indium In 111 Oxyquinoline,Pipecuronium Arduan",15-29,Unspecified,"other,hispanic and"
770,Hemorrhagic fever,Pain in eye,91,Shoulder cramps or spasms,91,Facial pain,91,Ankle pain,91,Wrist pain,91,Pain during pregnancy,91,Excessive anger,91,Joint stiffness or tightness,91,Pain or soreness of breast,91,Knee lump or mass,91,Fatigue,91,Excessive urination at night,"91"""," , ,The viral hemorrhagic (or haemorrhagic) fevers (VHFs) are a diverse group of animal and human illnesses that may be caused by five distinct families of RNA viruses: the families Arenaviridae, Filoviridae, Bunyaviridae, Flaviviridae, and Rhabdoviridae. All types of VHF are characterized by fever and bleeding disorders and all can progress to high fever, shock and death in many cases. Some of the VHF agents cause relatively mild illnesses, such as the Scandinavian nephropathia epidemica, while others, such as the African Ebola virus, can cause severe, life-threatening disease. , Source: Wikipedia,Patients with hemorrhagic fever often receive ",",Corneal transplant,Transurethral resection of prostate TURP Turp,Coronary thrombolysis,Control of epistaxis,CT scan abdomen Ct of abdomen,Procedures on spleen Spleen operation,Bone marrow transplant Bmt,Removal of ectopic pregnancy",",Air,Mecamylamine,Troleandomycin,Indium Oxyquinoline In 111 Indium In 111 Oxyquinoline,Pipecuronium Arduan,Grepafloxacin Raxar,Rabbit Anti Human T Lymphocyte Globulin Thymoglobulin,Iopanoic Acid,Conjugated Estrogens Topical,Malathion Topical,Gemtuzumab Mylotarg,Norelgestromin Ortho Evra","30-44,75+,60-74,5-14,1-4,15-29,45-59,< 1",Unspecified,"other,hispanic,black"
771,Obsessive compulsive disorder (OCD),Anxiety and nervousness,68,Depression,56,Depressive or psychotic symptoms,47,Obsessions and compulsions,33,Temper problems,14,Hostile behavior,13,Low self-esteem,12,Excessive anger,10,Feeling ill,10,Fears and phobias,10,Hysterical behavior,4,Lack of growth,"4"""," Also known as OCD and Obsessive Compulsive Neurosis , , ,Obsessivecompulsive disorder (OCD) is an anxiety disorder characterized by intrusive thoughts that produce uneasiness, apprehension, fear, or worry; by repetitive behaviors aimed at reducing the associated anxiety; or by a combination of such obsessions and compulsions. Symptoms of the disorder include excessive washing or cleaning; repeated checking; extreme hoarding; preoccupation with sexual, violent or religious thoughts; relationship-related obsessions; aversion to particular numbers; and nervous rituals, such as opening and closing a door a certain number of times before entering or leaving a room. These symptoms can be alienating and time-consuming, and often cause severe emotional and financial distress. The acts of those who have OCD may appear paranoid and potentially psychotic. However, OCD sufferers generally recognize their obsessions and compulsions as irrational, and may become further distressed by this realization. , Source: Wikipedia,Patients with obsessive compulsive disorder (ocd) often receive ",",Psychotherapy,Mental health counseling,Depression screen Depression screening,Psychological and psychiatric evaluation and therapy,Occupational therapy assessment Speech therapy,Electroencephalogram EEG Eeg,Diagnostic spinal tap Spinal tap",",Fluoxetine Prozac,Clonazepam,Sertraline Zoloft,Risperidone,Quetiapine Seroquel,Fluvoxamine Luvox,Methylphenidate,Aripiprazole Abilify,Buspirone Buspar,Clomipramine,Ziprasidone Geodon,Mirtazapine,Atomoxetine Strattera",5-14,Unspecified,other
772,Injury of the ankle,Ankle pain,88,Foot or toe pain,71,Ankle swelling,40,Leg pain,37,Foot or toe swelling,22,Joint pain,7,Foot or toe weakness,4,Leg cramps or spasms,2,Ankle stiffness or tightness,2,Wrist swelling,2,Foot or toe lump or mass,"2""",,," Also known as Ankle injury , , ,A sprained ankle, also known as an ankle sprain, twisted ankle, rolled ankle, floppy ankle, ankle injury or ankle ligament injury, is a common medical condition where one or more of the ligaments of the ankle is torn or partially torn. , Source: Wikipedia,Patients with injury of the ankle often receive ",",Radiographic imaging procedure,Plain x ray X ray,Application of splint Splinting,Examination of foot,Physical therapy exercises Exercises,Magnetic resonance imaging Mri,Orthopedic casting,Physical therapy exercises manipulation and other procedures",",Benzylpenicilloyl Polylysine Pre Pen,Dicloxacillin,Anakinra Kineret,Tapentadol Nucynta,Amphetamine Adderall,Isopropyl Alcohol Topical,Fenoprofen Progesic,Trolamine Salicylate Topical,Cefpodoxime,who go to their doctor with injury of the ankle,kle pain,ot or toe pain,g ankle swelling",Unspecified,Unspecified,other
773,Hyponatremia,Weakness,55,Vomiting,53,Nausea,48,Shortness of breath,44,Dizziness,44,Sharp abdominal pain,38,Sharp chest pain,33,Headache,33,Back pain,28,Fever,28,Fainting,25,Seizures,"23"""," Also known as Sodium Deficiency, Sodium Depletion, and Decreased Serum Sodium , , ,Hyponatremia (American English) or hyponatraemia (British English) is an electrolyte disturbance in which the sodium ion concentration in the serum is lower than normal. Sodium is the dominant extracellular cation (positive ion) and cannot freely cross from the interstitial space through the cell membrane, into the cell. Its homeostasis (stability of concentration) inside the cell is vital to the normal function of any cell. Normal serum sodium levels are between 135 and 145 mEq/L. Hyponatremia is defined as a serum level of less than 135 mEq/L and is considered severe when the serum level is below 125 mEq/L. , Source: Wikipedia,Patients with hyponatremia often receive ",",Hematologic tests Blood test,Complete blood count Cbc,Radiographic imaging procedure,Intravenous fluid replacement,Electrolytes panel,Glucose measurement Glucose level,Kidney function tests Kidney function test,Urinalysis",",Sodium Bicarbonate,Econazole Topical,Desmopressin,Sodium Polystyrene Sulfonate Kayexalate,Metipranolol Ophthalmic,Diphenoxylate Lomotil,Dofetilide Tikosyn,Tiagabine Gabitril,Lipase","75+,60-74",Unspecified,other
774,Stricture of the esophagus,Difficulty in swallowing,82,Vomiting,53,Regurgitation,32,Lump in throat,26,Sharp chest pain,26,Nausea,26,Difficulty eating,19,Heartburn,19,Coughing up sputum,19,Stomach bloating,19,Problems with movement,11,Recent weight loss,"11"""," Also known as Esophageal Stricture and Esophageal Stenosis , , ,A benign esophageal stricture is a narrowing or tightening of the esophagus that causes swallowing difficulties. , Source: Wikipedia,Patients with stricture of the esophagus often receive ",",Complete blood count Cbc,Intravenous fluid replacement,Upper gastrointestinal endoscopy biopsy,Plain x ray X ray,Esophageal dilatation Esophageal dilation,Electrocardiogram,Biopsy,Sigmoidoscopy or colonoscopy",",Midazolam Versed,Fentanyl,Pantoprazole,Meperidine Demerol,Glucagon,Estazolam,Doxylamine Unisom,Pyrithione Zinc Topical,Bethanechol,Darunavir Prezista,Palivizumab Synagis,Calcium Polycarbophil Fibercon","75+,60-74",Unspecified,other
775,Fracture of the ankle,Ankle pain,79,Ankle swelling,36,Leg pain,31,Foot or toe pain,29,Foot or toe swelling,9,Ankle weakness,3,Knee weakness,"2""",,,,,,,,,,," Also known as Broken Ankle and Ankle Fracture , , ,Fracture of the ankle is encountered rarely on Symcat. We will add more content to this page if enough people like you show interest.,Patients with fracture of the ankle often receive , ",",Radiographic imaging procedure,Plain x ray X ray,Application of splint Splinting,Orthopedic casting,Physical therapy exercises Exercises,Examination of foot,Wound care management,Traction splints and other wound care",",Potassium Bicarbonate,Flumazenil,Butalbital G 1",5-14,Unspecified,other
776,Soft tissue sarcoma,Skin lesion,53,Abnormal appearing skin,42,Skin growth,36,Skin moles,28,Itching of skin,13,Skin dryne,,,,10,Leg lump or mass,10,Warts,7,Groin mass,7,Irregular appearing nails,7,Change in skin mole size or color," Also known as Sarcoma, Malignant Soft Tissue Tumors, and Mesenchymal Malignant Tumor , , ,A soft-tissue sarcoma is a form of sarcoma that develops in connective tissue, though the term is sometimes applied to elements of the soft tissue that are not currently considered connective tissue. , Source: Wikipedia,Patients with soft tissue sarcoma often receive ",",Complete physical skin exam performed ML,Biopsy,Excision Removal,Wound care management,Magnetic resonance imaging Mri,Other diagnostic procedures on skin and subcutaneous tissue,Excision of skin lesion,Therapeutic radiology for cancer treatment Irradiation",",Aluminum Chloride Hexahydrate Topical,Vincristine,Doxorubicin,Ethanol On Guard,Gemcitabine Gemzar,Fluorouracil,Vardenafil Levitra,Ifosfamide Ifex,Mesna,Docetaxel,Imatinib Gleevec,Etoposide","75+,60-74",Unspecified,other
